pair_id,variant,plain_size,transformed_size,encrypt_ns,hash_ns,send_ns,send_ts_us
164,1,128,256,41982,0,3645,1763725854377185
165,0,128,0,0,0,4096,1763725854377461
165,1,128,256,43974,0,4474,1763725854377512
166,0,128,0,0,0,3882,1763725854377780
166,1,128,256,44087,0,3874,1763725854377830
167,0,128,0,0,0,4535,1763725854378099
167,1,128,256,46608,0,4207,1763725854378152
168,0,128,0,0,0,4682,1763725854378421
168,1,128,256,46843,0,4928,1763725854378475
169,0,128,0,0,0,4580,1763725854378744
169,1,128,256,46579,0,4068,1763725854378797
170,0,128,0,0,0,5960,1763725854379080
170,1,128,256,53027,0,4750,1763725854379140
171,0,128,0,0,0,5493,1763725854379425
171,1,128,256,48693,0,4583,1763725854379480
172,0,128,0,0,0,4425,1763725854379751
172,1,128,256,46600,0,4081,1763725854379803
173,0,128,0,0,0,4488,1763725854380074
173,1,128,256,46949,0,4390,1763725854380127
174,0,128,0,0,0,5200,1763725854380399
174,1,128,256,47377,0,3949,1763725854380453
175,0,128,0,0,0,4084,1763725854380730
175,1,128,256,46906,0,4037,1763725854380783
176,0,128,0,0,0,4561,1763725854381053
176,1,128,256,46860,0,4329,1763725854381106
177,0,128,0,0,0,4375,1763725854381375
177,1,128,256,46963,0,3884,1763725854381428
178,0,128,0,0,0,5865,1763725854381698
178,1,128,256,51253,0,4567,1763725854381756
179,0,128,0,0,0,7154,1763725854382030
179,1,128,256,53024,0,4475,1763725854382090
180,0,128,0,0,0,5233,1763725854382371
180,1,128,256,53019,0,4755,1763725854382432
181,0,128,0,0,0,5248,1763725854382703
181,1,128,256,56169,0,5064,1763725854382767
182,0,128,0,0,0,5766,1763725854383041
182,1,128,256,56715,0,4855,1763725854383106
183,0,128,0,0,0,9356,1763725854383388
183,1,128,256,79486,0,8014,1763725854383478
184,0,128,0,0,0,7720,1763725854383770
184,1,128,256,57795,0,6128,1763725854383837
185,0,128,0,0,0,6610,1763725854384123
185,1,128,256,55422,0,4705,1763725854384185
186,0,128,0,0,0,5864,1763725854384457
186,1,128,256,52553,0,5449,1763725854384518
187,0,128,0,0,0,6612,1763725854384792
187,1,128,256,47605,0,5844,1763725854384847
188,0,128,0,0,0,32959,1763725854385188
188,1,128,256,71410,0,6531,1763725854385271
189,0,128,0,0,0,4875,1763725854385559
189,1,128,256,46236,0,4084,1763725854385612
190,0,128,0,0,0,6178,1763725854385937
190,1,128,256,51241,0,5549,1763725854385996
191,0,128,0,0,0,6372,1763725854386287
191,1,128,256,49050,0,5046,1763725854386343
192,0,128,0,0,0,5624,1763725854386615
192,1,128,256,48948,0,5321,1763725854386671
193,0,128,0,0,0,5068,1763725854386941
193,1,128,256,49997,0,4692,1763725854386998
194,0,128,0,0,0,4665,1763725854387269
194,1,128,256,51417,0,4899,1763725854387328
195,0,128,0,0,0,5253,1763725854387610
195,1,128,256,53500,0,4744,1763725854387671
196,0,128,0,0,0,46970,1763725854388020
196,1,128,256,170442,0,16631,1763725854388214
197,0,128,0,0,0,16189,1763725854388533
197,1,128,256,157259,0,15641,1763725854388711
198,0,128,0,0,0,20169,1763725854389010
198,1,128,256,156532,0,15132,1763725854389187
199,0,128,0,0,0,15292,1763725854389503
199,1,128,256,143755,0,12214,1763725854389663
200,0,128,0,0,0,20380,1763725854389967
